--------------------------------------
P3 Evaluation test: #obj:   5000  configCode: bsa.de.mg.c4
Initial redraw: 0.208
Average redraw (sec): 0.0157      61.000 FPS
Average redraw (sec): 0.0159      61.667 FPS
Average redraw (sec): 0.0170      58.000 FPS
Average redraw (sec): 0.0196      50.667 FPS
Average redraw (sec): 0.0147      67.333 FPS
Average redraw (sec): 0.0150      66.333 FPS
Average redraw (sec): 0.0151      66.000 FPS
Average redraw (sec): 0.0150      66.000 FPS
Average redraw (sec): 0.0150      66.000 FPS
Average redraw (sec): 0.0159      62.667 FPS
Average redraw (sec): 0.0151      65.333 FPS
Average redraw (sec): 0.0149      66.667 FPS
Average redraw (sec): 0.0171      57.000 FPS
Average redraw (sec): 0.0172      57.667 FPS
Average redraw (sec): 0.0136      73.000 FPS
Average redraw (sec): 0.0136      73.000 FPS
Average redraw (sec): 0.0137      72.667 FPS
Average redraw (sec): 0.0160      62.000 FPS
Average redraw (sec): 0.0152      65.667 FPS
Average redraw (sec): 0.0149      65.333 FPS
Average redraw (sec): 0.0151      65.667 FPS
Average redraw (sec): 0.0148      67.000 FPS
Average redraw (sec): 0.0149      67.000 FPS
Average redraw (sec): 0.0150      66.333 FPS
Average redraw (sec): 0.0147      67.333 FPS
Average redraw (sec): 0.0149      66.333 FPS
Average redraw (sec): 0.0151      65.667 FPS
Average redraw (sec): 0.0148      66.333 FPS
Average redraw (sec): 0.0151      66.000 FPS
Average redraw (sec): 0.0145      67.000 FPS
Average redraw (sec): 0.0147      66.667 FPS
Average redraw (sec): 0.0151      65.667 FPS
Average redraw (sec): 0.0155      63.000 FPS
Average redraw (sec): 0.0218      45.333 FPS
Average redraw (sec): 0.0216      46.000 FPS
Average redraw (sec): 0.0152      65.333 FPS
Average redraw (sec): 0.0138      71.667 FPS
Average redraw (sec): 0.0142      70.000 FPS
Average redraw (sec): 0.0150      66.000 FPS
Average redraw (sec): 0.0153      65.000 FPS
Average redraw (sec): 0.0148      67.000 FPS
Average redraw (sec): 0.0146      66.667 FPS
Average redraw (sec): 0.0148      67.000 FPS
Average redraw (sec): 0.0144      68.667 FPS
Average redraw (sec): 0.0143      69.000 FPS
Average redraw (sec): 0.0141      70.333 FPS
Average redraw (sec): 0.0142      70.000 FPS
Average redraw (sec): 0.0144      69.000 FPS
Average redraw (sec): 0.0139      71.333 FPS
Average redraw (sec): 0.0146      68.000 FPS
Average redraw (sec): 0.0145      68.333 FPS
Average redraw (sec): 0.0144      68.667 FPS
Average redraw (sec): 0.0143      69.333 FPS
Average redraw (sec): 0.0147      67.667 FPS
Average redraw (sec): 0.0143      69.333 FPS
Average redraw (sec): 0.0143      69.000 FPS
Average redraw (sec): 0.0149      66.667 FPS
Average redraw (sec): 0.0144      68.667 FPS
Average redraw (sec): 0.0148      67.333 FPS
Average redraw (sec): 0.0150      66.000 FPS
Average redraw (sec): 0.0145      68.333 FPS
Average redraw (sec): 0.0147      67.667 FPS
Average redraw (sec): 0.0147      67.333 FPS
Average redraw (sec): 0.0147      67.333 FPS
Average redraw (sec): 0.0142      69.667 FPS
Average redraw (sec): 0.0143      69.333 FPS
Average redraw (sec): 0.0148      67.000 FPS
Average redraw (sec): 0.0142      69.667 FPS
Average redraw (sec): 0.0153      64.667 FPS
