--------------------------------------
P3 Evaluation test: #obj:   5000  configCode: bsj.da.mc
Initial redraw: 0.184
Average redraw (sec): 0.0175      54.667 FPS
Average redraw (sec): 0.0194      50.667 FPS
Average redraw (sec): 0.0152      65.333 FPS
Average redraw (sec): 0.0199      49.333 FPS
Average redraw (sec): 0.0174      57.000 FPS
Average redraw (sec): 0.0169      58.333 FPS
Average redraw (sec): 0.0169      58.000 FPS
Average redraw (sec): 0.0167      59.000 FPS
Average redraw (sec): 0.0183      54.000 FPS
Average redraw (sec): 0.0179      55.000 FPS
Average redraw (sec): 0.0156      63.000 FPS
Average redraw (sec): 0.0180      55.000 FPS
Average redraw (sec): 0.0154      64.000 FPS
Average redraw (sec): 0.0189      51.667 FPS
Average redraw (sec): 0.0174      56.667 FPS
Average redraw (sec): 0.0206      47.667 FPS
Average redraw (sec): 0.0158      63.000 FPS
Average redraw (sec): 0.0149      66.667 FPS
Average redraw (sec): 0.0140      70.667 FPS
Average redraw (sec): 0.0145      68.333 FPS
Average redraw (sec): 0.0140      70.667 FPS
Average redraw (sec): 0.0146      67.667 FPS
Average redraw (sec): 0.0147      67.333 FPS
Average redraw (sec): 0.0144      69.000 FPS
Average redraw (sec): 0.0141      70.667 FPS
Average redraw (sec): 0.0148      67.000 FPS
Average redraw (sec): 0.0141      70.667 FPS
Average redraw (sec): 0.0141      70.333 FPS
Average redraw (sec): 0.0140      71.000 FPS
Average redraw (sec): 0.0140      70.667 FPS
Average redraw (sec): 0.0145      68.667 FPS
Average redraw (sec): 0.0142      70.000 FPS
Average redraw (sec): 0.0141      70.667 FPS
Average redraw (sec): 0.0147      67.667 FPS
Average redraw (sec): 0.0140      70.667 FPS
Average redraw (sec): 0.0142      70.333 FPS
Average redraw (sec): 0.0143      69.000 FPS
Average redraw (sec): 0.0142      70.000 FPS
Average redraw (sec): 0.0146      68.333 FPS
Average redraw (sec): 0.0144      68.667 FPS
Average redraw (sec): 0.0143      69.333 FPS
Average redraw (sec): 0.0143      69.333 FPS
Average redraw (sec): 0.0149      66.333 FPS
Average redraw (sec): 0.0160      62.000 FPS
Average redraw (sec): 0.0147      67.333 FPS
Average redraw (sec): 0.0153      65.000 FPS
Average redraw (sec): 0.0146      67.667 FPS
Average redraw (sec): 0.0171      58.000 FPS
Average redraw (sec): 0.0153      64.667 FPS
Average redraw (sec): 0.0144      69.000 FPS
Average redraw (sec): 0.0144      68.667 FPS
Average redraw (sec): 0.0149      66.667 FPS
Average redraw (sec): 0.0145      69.000 FPS
Average redraw (sec): 0.0141      70.333 FPS
Average redraw (sec): 0.0144      69.000 FPS
Average redraw (sec): 0.0144      68.667 FPS
Average redraw (sec): 0.0148      67.000 FPS
Average redraw (sec): 0.0149      67.000 FPS
Average redraw (sec): 0.0145      68.000 FPS
Average redraw (sec): 0.0153      64.667 FPS
Average redraw (sec): 0.0148      67.333 FPS
Average redraw (sec): 0.0149      66.667 FPS
Average redraw (sec): 0.0166      59.667 FPS
Average redraw (sec): 0.0148      66.667 FPS
Average redraw (sec): 0.0176      56.333 FPS
Average redraw (sec): 0.0153      64.667 FPS
Average redraw (sec): 0.0140      70.333 FPS
Average redraw (sec): 0.0144      69.000 FPS
Average redraw (sec): 0.0152      65.333 FPS
Average redraw (sec): 0.0145      68.667 FPS
Average redraw (sec): 0.0227      44.000 FPS
