--------------------------------------
P3 Evaluation test: #obj:   1000  configCode: bua.da.mc
Initial redraw: 0.185
Average redraw (sec): 0.0066     135.000 FPS
Average redraw (sec): 0.0072     133.000 FPS
Average redraw (sec): 0.0073     126.667 FPS
Average redraw (sec): 0.0059     157.667 FPS
Average redraw (sec): 0.0049     194.333 FPS
Average redraw (sec): 0.0049     194.000 FPS
Average redraw (sec): 0.0048     199.333 FPS
Average redraw (sec): 0.0048     200.000 FPS
Average redraw (sec): 0.0048     191.333 FPS
Average redraw (sec): 0.0048     197.000 FPS
Average redraw (sec): 0.0051     187.000 FPS
Average redraw (sec): 0.0050     192.000 FPS
Average redraw (sec): 0.0047     203.000 FPS
Average redraw (sec): 0.0049     196.333 FPS
Average redraw (sec): 0.0048     198.333 FPS
Average redraw (sec): 0.0051     186.667 FPS
Average redraw (sec): 0.0047     205.667 FPS
Average redraw (sec): 0.0046     203.667 FPS
Average redraw (sec): 0.0048     201.000 FPS
Average redraw (sec): 0.0052     184.000 FPS
Average redraw (sec): 0.0051     187.000 FPS
Average redraw (sec): 0.0050     190.667 FPS
Average redraw (sec): 0.0052     184.667 FPS
Average redraw (sec): 0.0052     185.000 FPS
Average redraw (sec): 0.0055     173.667 FPS
Average redraw (sec): 0.0051     184.667 FPS
Average redraw (sec): 0.0051     188.667 FPS
Average redraw (sec): 0.0050     192.000 FPS
Average redraw (sec): 0.0050     189.333 FPS
Average redraw (sec): 0.0052     183.333 FPS
Average redraw (sec): 0.0052     186.667 FPS
Average redraw (sec): 0.0052     182.333 FPS
Average redraw (sec): 0.0051     186.667 FPS
Average redraw (sec): 0.0051     187.000 FPS
Average redraw (sec): 0.0051     188.667 FPS
Average redraw (sec): 0.0051     185.000 FPS
Average redraw (sec): 0.0048     196.333 FPS
Average redraw (sec): 0.0050     187.000 FPS
Average redraw (sec): 0.0080     119.000 FPS
Average redraw (sec): 0.0072     133.667 FPS
Average redraw (sec): 0.0065     145.333 FPS
Average redraw (sec): 0.0054     176.667 FPS
Average redraw (sec): 0.0049     192.667 FPS
Average redraw (sec): 0.0069     136.333 FPS
Average redraw (sec): 0.0072     132.000 FPS
Average redraw (sec): 0.0063     149.000 FPS
Average redraw (sec): 0.0074     129.000 FPS
Average redraw (sec): 0.0067     139.333 FPS
Average redraw (sec): 0.0074     129.000 FPS
Average redraw (sec): 0.0070     134.667 FPS
Average redraw (sec): 0.0068     139.333 FPS
Average redraw (sec): 0.0064     149.333 FPS
